"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 07- 01","16.95","11.28","17.11","10.28","","46.50%"
"2014- 06- 01","11.57","11.69","12.89","10.34","","1.49%"
"2014- 05- 01","11.40","13.64","14.49","11.32","","-14.99%"
"2014- 04- 01","13.41","13.43","17.85","12.60","","-3.39%"
"2014- 03- 01","13.88","16.47","18.22","13.46","","-0.86%"
"2014- 02- 01","14.00","18.57","21.48","13.44","","-23.95%"
"2014- 01- 01","18.41","14.32","18.99","11.81","","34.18%"
"2013- 12- 01","13.72","13.91","16.75","11.69","","0.15%"
"2013- 11- 01","13.70","13.46","14.14","11.99","","-0.36%"
"2013- 10- 01","13.75","16.31","21.34","12.34","","-17.17%"
"2013- 09- 01","16.60","16.47","17.49","12.52","","-2.41%"
"2013- 08- 01","17.01","12.89","17.81","11.83","","26.47%"
"2013- 07- 01","13.45","16.90","17.32","12.07","","-20.23%"
"2013- 06- 01","16.86","16.40","21.91","14.96","","3.44%"
"2013- 05- 01","16.30","13.88","16.35","12.26","","20.56%"
"2013- 04- 01","13.52","13.46","18.20","11.99","","6.46%"
"2013- 03- 01","12.70","16.10","16.82","11.05","","-18.12%"
"2013- 02- 01","15.51","13.37","19.28","12.08","","8.61%"
"2013- 01- 01","14.28","15.24","15.93","12.29","","-20.75%"
"2012- 12- 01","18.02","15.81","23.23","15.41","","13.55%"
"2012- 11- 01","15.87","17.77","19.40","14.77","","-14.68%"
"2012- 10- 01","18.60","16.03","19.65","13.67","","18.25%"
"2012- 09- 01","15.73","18.65","18.96","13.51","","-9.96%"
"2012- 08- 01","17.47","18.80","19.25","13.30","","-7.71%"
"2012- 07- 01","18.93","17.62","21.00","15.45","","10.83%"
"2012- 06- 01","17.08","25.87","27.73","16.77","","-29.01%"
"2012- 05- 01","24.06","17.27","25.46","16.01","","40.29%"
"2012- 04- 01","17.15","16.35","21.06","15.02","","10.65%"
"2012- 03- 01","15.50","18.02","21.24","13.66","","-15.90%"
"2012- 02- 01","18.43","18.68","21.98","16.10","","-5.20%"
"2012- 01- 01","19.44","22.95","23.73","16.80","","-16.92%"
"2011- 12- 01","23.40","27.63","30.91","20.34","","-15.83%"
"2011- 11- 01","27.80","36.03","37.53","27.03","","-7.21%"
"2011- 10- 01","29.96","44.25","46.88","24.44","","-30.26%"
"2011- 09- 01","42.96","31.91","43.87","30.43","","35.86%"
"2011- 08- 01","31.62","22.63","48.00","22.46","","25.23%"
"2011- 07- 01","25.25","16.06","25.94","15.12","","52.85%"
"2011- 06- 01","16.52","15.95","24.65","15.88","","6.93%"
"2011- 05- 01","15.45","15.07","20.03","15.07","","4.75%"
"2011- 04- 01","14.75","16.68","19.07","14.27","","-16.85%"
"2011- 03- 01","17.74","17.63","31.28","17.07","","-3.32%"
"2011- 02- 01","18.35","18.59","23.22","14.86","","-6.04%"
"2011- 01- 01","19.53","17.94","20.08","15.37","","10.03%"
